geonameid,name,asciiname,name_en,name_es,name_fr,name_it,name_ru,lat,lon,elevation,timezone,feature_code,is_capital,iso_a2,iso_a3,country_name,admin1_code,admin1_name,population,metro_population,pop_growth_10yr,annual_mean_temp,max_temp_warmest_month,min_temp_coldest_month,temp_annual_range,annual_precipitation,sunshine_hours_yr,mean_wind_speed,pm25,pm10,gdp_per_capita_ppp,hdi,internet_pct,life_expectancy,urban_pct,agri_pct_gdp,industry_pct_gdp,services_pct_gdp,literacy_rate,gini,co2_per_capita,hospital_beds_per_1k
3577154,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Oranjestad,Ораньестад,12.52398,-70.02703,22.0,America/Aruba,PPLC,national,AW,ABW,Aruba,00,,29998,,,,,,,,,,,,50649.3015,,,,61.7909,0.0342,9.7359,,,,,
1138958,Kabul,Kabul,Kabul,Kabul,Kaboul,Kabul,Кабул,34.52813,69.17233,1798.0,Asia/Kabul,PPLC,national,AF,AFG,Afghanistan,13,Kabul,4434550,,,,,,,,,,,,2201.7229,0.462,,,25.7007,34.7432,13.4498,,37.27,,,0.35
1140026,Herāt,Herat,Herat,Herāt,Hérat,Herat,Герат,34.34817,62.19967,927.0,Asia/Kabul,PPLA,admin1,AF,AFG,Afghanistan,11,Herat,574300,,,,,,,,,,,,2201.7229,0.462,,,25.7007,34.7432,13.4498,,37.27,,,0.35
1133616,Mazār-e Sharīf,Mazar-e Sharif,Mazari Sharif,Mazār-e Šarīf,Mazari Sharif,Mazari Sharif,Мазари-Шариф,36.70904,67.11087,361.0,Asia/Kabul,PPLA,admin1,AF,AFG,Afghanistan,30,Balkh,523300,,,,,,,,,,,,2201.7229,0.462,,,25.7007,34.7432,13.4498,,37.27,,,0.35
1138336,Kandahār,Kandahar,Kandahar,Kandahar,Kandahar,Kandahar,Кандагар,31.61332,65.71013,1007.0,Asia/Kabul,PPLA,admin1,AF,AFG,Afghanistan,23,Kandahar,523300,,,,,,,,,,,,2201.7229,0.462,,,25.7007,34.7432,13.4498,,37.27,,,0.35
1139715,Jalālābād,Jalalabad,Jalalabad,Jalalabad,Jalalabad,Jalalabad,Джелалабад,34.42647,70.45153,575.0,Asia/Kabul,PPLA,admin1,AF,AFG,Afghanistan,18,Nangarhar,271900,,,,,,,,,,,,2201.7229,0.462,,,25.7007,34.7432,13.4498,,37.27,,,0.35
1135689,Kunduz,Kunduz,Kunduz,Qundūz,Kondôz,Konduz,Кундуз,36.72895,68.857,402.0,Asia/Kabul,PPLA,admin1,AF,AFG,Afghanistan,24,Kunduz,161902,,,,,,,,,,,,2201.7229,0.462,,,25.7007,34.7432,13.4498,,37.27,,,0.35
1141269,Ghazni,Ghazni,Ghazni,Gazni,Ghazni,Ghazni,Газни,33.55391,68.42096,2179.0,Asia/Kabul,PPLA,admin1,AF,AFG,Afghanistan,08,Ghazni,141000,,,,,,,,,,,,2201.7229,0.462,,,25.7007,34.7432,13.4498,,37.27,,,0.35
1147290,Balkh,Balkh,Balkh,Balj,Balkh,Balkh,Балх,36.75635,66.8972,348.0,Asia/Kabul,PPLA2,no,AF,AFG,Afghanistan,30,Balkh,114883,,,,,,,,,,,,2201.7229,0.462,,,25.7007,34.7432,13.4498,,37.27,,,0.35
1147540,Baghlān,Baghlan,Baghlan,Baghlan,Baghlan,Baghlan,Баглан,36.13068,68.70829,531.0,Asia/Kabul,PPLA2,no,AF,AFG,Afghanistan,03,Baghlan,108449,,,,,,,,,,,,2201.7229,0.462,,,25.7007,34.7432,13.4498,,37.27,,,0.35
