code,name,name_es,autonomous_community,capital,lat,lon,population,area_km2,density_per_km2,gdp_usd,gdp_per_capita_usd,unemployment_rate,median_age,coastline_km,elevation_max_m,elevation_min_m,avg_elevation_m,avg_temperature_c,annual_precipitation_mm,life_expectancy,num_municipalities
01,Álava,Álava,País Vasco,Vitoria-Gasteiz,42.85,-2.67,333940,3037,110.0,13500000000,40430,8.2,44.8,0,1555,400,600,11.8,780,83.8,51
02,Albacete,Albacete,Castilla-La Mancha,Albacete,38.99,-1.86,388270,14926,26.0,7200000000,18550,16.5,44.2,0,1798,560,700,14.2,380,82.1,87
03,Alicante,Alicante,Comunidad Valenciana,Alicante,38.35,-0.49,1881762,5817,323.5,36200000000,19240,14.8,42.5,244,1558,0,350,18.0,310,82.4,141
04,Almería,Almería,Andalucía,Almería,37.09,-2.15,727945,8774,83.0,12500000000,17170,22.3,41.3,249,2609,0,500,18.7,230,81.6,103
05,Ávila,Ávila,Castilla y León,Ávila,40.66,-4.68,157664,8050,19.6,2700000000,17130,12.1,48.5,0,2592,700,1130,11.2,410,83.0,248
06,Badajoz,Badajoz,Extremadura,Badajoz,38.88,-6.97,672137,21766,30.9,11800000000,17560,21.5,44.0,0,1436,200,470,16.5,480,81.4,164
07,Baleares,Islas Baleares,Islas Baleares,Palma de Mallorca,39.57,2.65,1173008,4992,234.9,33700000000,28730,11.2,41.6,1428,1445,0,140,17.1,470,83.5,67
08,Barcelona,Barcelona,Cataluña,Barcelona,41.39,2.17,5714730,7726,739.8,157000000000,27480,10.2,42.8,161,2536,0,350,15.5,620,83.9,311
09,Burgos,Burgos,Castilla y León,Burgos,42.34,-3.70,357071,14291,25.0,8200000000,22970,9.8,46.8,0,2175,500,930,10.1,560,83.5,371
10,Cáceres,Cáceres,Extremadura,Cáceres,39.47,-6.37,391850,19868,19.7,5800000000,14800,20.8,46.5,0,2401,220,530,15.0,520,82.0,222
11,Cádiz,Cádiz,Andalucía,Cádiz,36.53,-6.29,1244049,7436,167.3,21300000000,17120,26.3,41.6,285,1654,0,140,18.2,570,81.0,45
12,Castellón,Castellón,Comunidad Valenciana,Castellón de la Plana,40.07,-0.05,576898,6632,87.0,12200000000,21150,12.4,43.6,120,1814,0,450,16.5,470,82.5,135
13,Ciudad Real,Ciudad Real,Castilla-La Mancha,Ciudad Real,38.98,-3.93,506864,19813,25.6,8800000000,17360,17.5,45.0,0,1492,560,650,14.8,420,82.0,102
14,Córdoba,Córdoba,Andalucía,Córdoba,37.88,-4.77,781451,13771,56.7,13300000000,17020,22.0,43.1,0,1570,90,480,17.6,580,81.5,75
15,A Coruña,La Coruña,Galicia,A Coruña,43.37,-8.40,1121815,7950,141.1,24200000000,21570,11.8,46.5,956,782,0,330,13.5,1100,83.1,93
16,Cuenca,Cuenca,Castilla-La Mancha,Cuenca,40.07,-2.13,196139,17141,11.4,3100000000,15810,14.2,48.8,0,1866,640,1000,12.5,490,82.5,238
17,Girona,Gerona,Cataluña,Girona,41.98,2.82,781788,5910,132.3,18500000000,23660,10.5,42.5,260,2913,0,450,14.8,710,84.0,221
18,Granada,Granada,Andalucía,Granada,37.18,-3.60,919168,12647,72.7,14200000000,15450,24.1,42.2,76,3479,0,830,15.1,380,81.8,174
19,Guadalajara,Guadalajara,Castilla-La Mancha,Guadalajara,40.63,-3.16,265124,12214,21.7,5100000000,19240,11.5,43.2,0,2273,600,950,12.8,520,83.0,288
20,Guipúzcoa,Guipúzcoa,País Vasco,San Sebastián,43.32,-1.98,727634,1980,367.5,24500000000,33670,8.5,44.5,92,1551,0,350,13.2,1530,84.2,88
21,Huelva,Huelva,Andalucía,Huelva,37.26,-6.95,524278,10128,51.8,8300000000,15830,25.0,42.8,122,1086,0,270,18.1,510,81.0,79
22,Huesca,Huesca,Aragón,Huesca,42.14,-0.41,228361,15636,14.6,5000000000,21890,9.5,45.8,0,3404,420,900,12.0,620,83.5,202
23,Jaén,Jaén,Andalucía,Jaén,37.77,-3.79,631381,13484,46.8,9100000000,14410,23.5,44.5,0,2167,210,680,16.0,530,81.5,97
24,León,León,Castilla y León,León,42.60,-5.57,456439,15581,29.3,8100000000,17740,12.3,48.2,0,2648,600,940,10.5,570,83.0,211
25,Lleida,Lérida,Cataluña,Lleida,41.62,0.63,444000,12150,36.5,9800000000,22070,10.8,43.5,0,3143,150,700,13.8,510,83.5,231
26,La Rioja,La Rioja,La Rioja,Logroño,42.47,-2.45,319914,5045,63.4,8000000000,25010,10.0,44.8,0,2271,300,650,13.2,440,83.5,174
27,Lugo,Lugo,Galicia,Lugo,43.01,-7.56,327946,9856,33.3,5600000000,17070,11.5,49.0,114,1624,0,550,11.5,1000,83.0,67
28,Madrid,Madrid,Comunidad de Madrid,Madrid,40.42,-3.70,6751251,8028,840.9,248000000000,36730,10.5,41.8,0,2430,480,650,14.5,440,84.3,179
29,Málaga,Málaga,Andalucía,Málaga,36.72,-4.42,1685920,7308,230.7,30200000000,17910,19.5,42.0,185,2069,0,470,18.5,520,82.0,103
30,Murcia,Murcia,Región de Murcia,Murcia,37.98,-1.13,1518486,11313,134.2,31200000000,20550,14.5,40.8,274,2015,0,320,17.8,310,82.0,45
31,Navarra,Navarra,Comunidad Foral de Navarra,Pamplona,42.82,-1.65,661197,10391,63.6,20800000000,31460,9.0,43.5,0,2444,110,680,12.5,850,84.0,272
