code,name,name_es,capital,lat,lon,population,area_km2,density_per_km2,gdp_usd,gdp_per_capita_usd,median_income_usd,unemployment_rate,elevation_max_m,elevation_min_m,avg_temperature_c,annual_precipitation_mm,life_expectancy
AL,Alabama,Alabama,Montgomery,32.806671,-86.79113,5024279,135767,37.0,271828000000,54119,56929,2.8,735,0,17.1,1400,75.4
AK,Alaska,Alaska,Juneau,63.588753,-154.493062,733391,1723337,0.4,55942000000,76279,77640,4.4,6190,-2,−2.3,850,78.2
AZ,Arizona,Arizona,Phoenix,34.048928,-111.093731,7151502,295234,24.2,442020000000,61810,65913,3.7,3851,21,21.7,330,78.3
AR,Arkansas,Arkansas,Little Rock,35.20105,-91.831833,3011524,137732,21.9,151876000000,50427,52123,3.5,839,17,15.8,1270,75.9
CA,California,California,Sacramento,36.778261,-119.417932,39538223,423967,93.3,3598103000000,91001,84907,4.2,4421,-86,15.6,560,81.0
CO,Colorado,Colorado,Denver,39.550051,-105.782067,5773714,269601,21.4,455073000000,78821,82254,3.1,4401,1011,7.3,400,80.2
CT,Connecticut,Connecticut,Hartford,41.603221,-73.087749,3605944,14357,251.2,299980000000,83189,83771,4.0,725,0,10.0,1180,80.8
DE,Delaware,Delaware,Dover,38.910832,-75.52767,989948,6446,153.6,81549000000,82378,72724,4.3,137,0,13.1,1150,78.4
FL,Florida,Florida,Tallahassee,27.664827,-81.515754,21538187,170312,126.5,1389070000000,64492,61777,2.9,105,0,22.0,1350,79.7
GA,Georgia,Georgia,Atlanta,32.157435,-83.501783,10711908,153910,69.6,707789000000,66077,65030,3.2,1458,0,17.5,1250,77.4
HI,Hawaii,Hawái,Honolulu,19.898682,-155.665857,1455271,28313,51.4,92374000000,63472,83173,3.4,4205,0,23.9,1700,82.3
ID,Idaho,Idaho,Boise,44.068202,-114.742041,1839106,216443,8.5,99881000000,54312,60999,2.9,3859,216,6.9,460,79.2
IL,Illinois,Illinois,Springfield,40.633125,-89.398528,12812508,149995,85.4,981974000000,76641,72205,4.5,376,85,11.0,970,78.7
IN,Indiana,Indiana,Indianapolis,40.551217,-85.602364,6785528,94326,71.9,424237000000,62526,61944,3.1,383,98,11.4,1050,77.0
IA,Iowa,Iowa,Des Moines,41.878003,-93.097702,3190369,145746,21.9,213089000000,66797,65573,2.8,509,146,9.0,880,79.4
KS,Kansas,Kansas,Topeka,39.011902,-98.484246,2937880,213100,13.8,187613000000,63857,62087,2.8,1231,207,12.5,740,78.5
KY,Kentucky,Kentucky,Frankfort,37.839333,-84.270018,4505836,104656,43.0,231611000000,51404,52238,3.9,1263,78,13.1,1220,75.3
LA,Louisiana,Luisiana,Baton Rouge,30.984298,-91.962333,4657757,135659,34.3,273675000000,58753,52295,3.7,163,-2,19.3,1500,75.6
ME,Maine,Maine,Augusta,45.253783,-69.445469,1362359,91633,14.9,77760000000,57079,60748,3.3,1606,0,5.6,1090,78.7
MD,Maryland,Maryland,Annapolis,39.045755,-76.641271,6177224,32131,192.2,445274000000,72076,90203,3.5,1024,0,12.8,1070,78.8
MA,Massachusetts,Massachusetts,Boston,42.407211,-71.382437,7029917,27336,257.1,654782000000,93133,89026,3.9,1064,0,9.2,1100,80.4
MI,Michigan,Míchigan,Lansing,44.314844,-85.602364,10077331,250487,40.2,581818000000,57738,63202,4.3,604,174,7.0,830,77.8
MN,Minnesota,Minnesota,Saint Paul,46.729553,-94.6859,5706494,225163,25.3,414064000000,72558,77706,2.6,701,183,5.1,700,80.9
MS,Mississippi,Misisipi,Jackson,32.354668,-89.398528,2961279,125438,23.6,130179000000,43956,46511,3.8,246,0,17.5,1450,74.6
MO,Missouri,Misuri,Jefferson City,37.964253,-91.831833,6154913,180540,34.1,363277000000,59028,59196,2.8,540,70,12.7,1070,77.3
MT,Montana,Montana,Helena,46.879682,-110.362566,1084225,380831,2.8,60563000000,55861,57153,2.7,3904,549,5.6,380,78.8
NE,Nebraska,Nebraska,Lincoln,41.492537,-99.901813,1961504,200330,9.8,152106000000,77544,63015,2.3,1654,256,9.5,610,79.6
NV,Nevada,Nevada,Carson City,38.80261,-116.419389,3104614,286380,10.8,197766000000,63710,63276,5.0,4007,146,11.8,240,78.1
NH,New Hampshire,Nuevo Hampshire,Concord,43.193852,-71.572395,1377529,24214,56.9,97870000000,71042,83449,2.5,1917,0,6.6,1060,79.5
NJ,New Jersey,Nueva Jersey,Trenton,40.058324,-74.405661,9288994,22591,411.2,693109000000,74617,85751,3.8,550,0,11.5,1180,80.3
NM,New Mexico,Nuevo México,Santa Fe,34.97273,-105.032363,2117522,314917,6.7,111884000000,52843,53992,4.4,4013,866,12.0,340,77.5
NY,New York,Nueva York,Albany,43.299428,-74.217933,20201249,141297,142.9,1893670000000,93741,74314,4.3,1629,0,8.0,1070,80.5
NC,North Carolina,Carolina del Norte,Raleigh,35.759573,-79.0193,10439388,139391,74.9,663771000000,63585,60516,3.5,2037,0,15.0,1230,78.0
ND,North Dakota,Dakota del Norte,Bismarck,47.551493,-101.002012,779094,183108,4.3,63735000000,81809,64577,2.1,1069,229,4.7,450,79.9
OH,Ohio,Ohio,Columbus,40.417287,-82.907123,11799448,116098,101.6,731547000000,62000,59855,3.9,472,139,10.4,970,77.2
OK,Oklahoma,Oklahoma,Oklahoma City,35.007752,-97.092877,3959353,181037,21.9,220116000000,55594,55826,2.9,1516,88,15.5,890,76.0
OR,Oregón,Oregón,Salem,43.804133,-120.554201,4237256,254799,16.6,271158000000,63987,67058,3.6,3429,0,9.1,680,79.4
PA,Pennsylvania,Pensilvania,Harrisburg,41.203322,-77.194525,13002700,119280,109.0,876001000000,67372,67587,4.1,979,0,10.1,1060,78.5
RI,Rhode Island,Rhode Island,Providence,41.580095,-71.477429,1097379,4001,274.3,65087000000,59313,70305,3.6,247,0,10.4,1200,79.4
SC,South Carolina,Carolina del Sur,Columbia,33.836081,-81.163725,5118425,82933,61.7,280267000000,54757,56227,3.3,1085,0,16.9,1200,76.5
SD,South Dakota,Dakota del Sur,Pierre,43.969515,-99.901813,886667,199729,4.4,62916000000,70959,60126,2.1,2207,294,7.3,510,79.8
TN,Tennessee,Tennessee,Nashville,35.517491,-86.580447,6910840,109153,63.3,432280000000,62553,56071,3.3,2025,54,14.4,1360,76.3
TX,Texas,Texas,Austin,31.968599,-99.901813,29145505,695662,41.9,2007070000000,68863,67321,3.9,2667,-2,18.2,750,78.5
UT,Utah,Utah,Salt Lake City,39.32098,-111.093731,3271616,219882,14.9,213988000000,65400,75169,2.2,4123,610,9.2,400,79.9
VT,Vermont,Vermont,Montpelier,44.558803,-72.577841,643077,24906,25.8,36122000000,56171,63477,2.3,1339,29,5.9,1000,79.7
VA,Virginia,Virginia,Richmond,37.431573,-78.656894,8631393,110787,77.9,624634000000,72371,80963,2.8,1746,0,12.8,1100,79.2
WA,Washington,Washington,Olympia,47.751074,-120.740139,7614893,184661,41.2,679480000000,89236,82228,3.7,4392,0,9.1,970,80.2
WV,West Virginia,Virginia Occidental,Charleston,38.597626,-80.454903,1793716,62756,28.6,89859000000,50099,48037,4.0,1482,73,11.1,1100,74.8
WI,Wisconsin,Wisconsin,Madison,43.78444,-88.787868,5893718,169635,34.7,373999000000,63463,64168,2.8,595,177,6.2,820,79.5
WY,Wyoming,Wyoming,Cheyenne,43.075968,-107.290284,576851,253335,2.3,41027000000,71118,65003,3.4,4209,945,5.6,330,78.3
